pair_name,pair_symbol,pair_address,pair_decimal,asset_symbol,asset_address,asset_decimal,collateral_symbol,collateral_address,collateral_decimal
WMATIC/SUSHI,kmSUSHI/WMATIC-LINK,0x34755561914f8ca8a9ca14445e20977f54254dd0,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
WMATIC/WETH,kmWETH/WMATIC-LINK,0x430f9657a42e221ccceba2b3ea072bd09d0c68c3,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
WBTC/WETH,kmWETH/WBTC-LINK,0x4d265c6d3ee3b770167719834905e927e21dcf6e,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
WETH/DAI,kmDAI/WETH-LINK,0x9b18df61c94672e08fd1605e50fd27c70065535b,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
USDT/USDC,kmUSDC/USDT-LINK,0x131e7be25ea9a48e5291dc03d7ac2c5cd71ec343,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
USDC/JPYC,kmJPYC/USDC-LINK,0x74c13e9bedef084e2a5e40bed7c5ef904963a5f2,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,JPYC,0x6ae7dfc73e0dde2aa99ac063dcf7e8a63265108c,18
SUSHI/DAI,kmDAI/SUSHI-LINK,0x1fb375b48a66c41a832eb1887d3ce9aa52776680,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
USDC/AAVE,kmAAVE/USDC-LINK,0x5b8d0f56ea36270bb0eaf5fcbd72ea5ab98ba4af,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18
SUSHI/WMATIC,kmWMATIC/SUSHI-LINK,0x61c0756359b916f7d609fd8b2cb66fa0def1442a,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
JPYC/WETH,kmWETH/JPYC-LINK,0x5224a1e37f14fc48dd2011dac60a1419ebcddf0d,18,JPYC,0x6ae7dfc73e0dde2aa99ac063dcf7e8a63265108c,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
LINK/USDC,kmUSDC/LINK-LINK,0xa95440d200fb7da3672c6272e1f5c874dbdb5874,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
DAI/USDC,kmUSDC/DAI-LINK,0x0b6b77826745d4aad863f3ceb1cb4bbc0e7b3274,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
SUSHI/WETH,kmWETH/SUSHI-LINK,0x63a33397916fa3582536d1cbf50f52298e860cbf,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
WMATIC/USDT,kmUSDT/WMATIC-LINK,0x836957bae9f5d0179b18dfa918a2bd2418b5b5d4,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
WBTC/WETH,kmWETH/WBTC-LINK,0x38371f206ae321a92789c78106e8f3e6d8a4fbda,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
AAVE/WMATIC,kmWMATIC/AAVE-LINK,0xf0a30cdb7a207ef86f4ec72fca0baa4eec1be85c,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
AAVE/WETH,kmWETH/AAVE-LINK,0x09c3881351b48032f9cc6b2d1b2a07ade4d031bb,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
USDC/WBTC,kmWBTC/USDC-LINK,0x684575df2d01523fafcbf6768a4549d4309c7ea6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
USDC/USDT,kmUSDT/USDC-LINK,0x740c0d2de97c8a01ec8d25dbfe04cce12966ec69,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
WMATIC/WBTC,kmWBTC/WMATIC-LINK,0x43e947fc7f95686aa2989e1aac82edc5040527aa,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
SUSHI/WBTC,kmWBTC/SUSHI-LINK,0xc6caaf5e1f1c0897c072295aa76edc1b048d91c7,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
USDC/DAI,kmDAI/USDC-LINK,0x0d1c9d5b0bf171e7434ae338f885c829610c82f5,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
USDC/SUSHI,kmSUSHI/USDC-LINK,0x6698198bafbeba0ebb4cbc2d762359d01c028b03,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
polyFXS/SNX,kmSNX/FXS-LINK,0xd717a1a64328f6d0cb9f8e4e984698798dc7d214,18,polyFXS,0x3e121107f6f22da4911079845a470757af4e1a1b,18,SNX,0x50b728d8d964fd00c2d0aad81718b71311fef68a,18
CEL/SUSHI,kmSUSHI/CEL-LINK,0x40d0f825c88d28867db73480bb2b33b841c049d6,4,CEL,0xd85d1e945766fea5eda9103f918bd915fbca63e6,4,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
WETH/YFI,kmYFII/WETH-LINK,0x7cac5b65a7180811466def738a207fbb7b85b3e1,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,YFI,0xb8cb8a7f4c2885c03e57e973c74827909fdc2032,18
MFT/WBTC,kmWBTC/MFT-LINK,0xe25e856bc2ba1cd2bb15b7317ca04b59fea14b58,18,MFT,0x91ca694d2b293f70fe722fba7d8a5259188959c3,18,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
